variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,resampler
szz,logistic_regression,9,21520,2391,30,0.0626865671641791,0.7,0.11506849315068493,0.912014683043908,0.20082826120854116,0.1818284926775406,0.8666666666666667,smote
szz,logistic_regression,10,21520,2391,30,0.06547619047619048,0.7333333333333333,0.12021857923497267,0.894578568403219,0.13737630851301544,0.1922779620685528,0.8666666666666667,smote
szz,decision_tree,1,21519,2392,30,0.13043478260869565,0.3,0.18181818181818182,0.6372988992379339,0.047909698996655516,0.1825780123512775,0.4,smote
szz,decision_tree,2,21520,2391,29,0.14285714285714285,0.27586206896551724,0.18823529411764706,0.6277701538731059,0.048191803005111535,0.1849527968599077,0.3793103448275862,smote
szz,decision_tree,3,21520,2391,29,0.11267605633802817,0.27586206896551724,0.16,0.6245948786825893,0.039865986034321274,0.16069263268137363,0.3793103448275862,smote
szz,decision_tree,4,21520,2391,29,0.10344827586206896,0.20689655172413793,0.13793103448275862,0.5924406552016117,0.031022497663901145,0.13154083370499892,0.27586206896551724,smote
szz,decision_tree,5,21520,2391,30,0.14814814814814814,0.26666666666666666,0.19047619047619047,0.6235916984328673,0.048707343897640844,0.18518324111309606,0.4,smote
szz,decision_tree,6,21520,2391,30,0.09433962264150944,0.16666666666666666,0.12048192771084337,0.573168149089369,0.026179146642677335,0.11063702706897081,0.3,smote
szz,decision_tree,7,21520,2391,30,0.1864406779661017,0.36666666666666664,0.24719101123595505,0.673168149089369,0.07630804783474754,0.2484942550480017,0.43333333333333335,smote
szz,decision_tree,8,21520,2391,30,0.15625,0.3333333333333333,0.2127659574468085,0.6552308343922066,0.06044803429527394,0.21410579881227593,0.5,smote
szz,decision_tree,9,21520,2391,30,0.13333333333333333,0.2,0.16,0.591740787801779,0.0367043078209954,0.15029025488595746,0.3333333333333333,smote
szz,decision_tree,10,21520,2391,30,0.1076923076923077,0.23333333333333334,0.14736842105263157,0.6043837357052098,0.03474761123443683,0.14289265920961408,0.36666666666666664,smote
szz,random_forest,1,21519,2392,30,0.30434782608695654,0.4666666666666667,0.3684210526315789,0.9453288173863957,0.3608870128502788,0.36717217369331784,0.8666666666666667,smote
szz,random_forest,2,21520,2391,29,0.23333333333333334,0.2413793103448276,0.23728813559322035,0.8927486933925077,0.1931072742255195,0.22779660921253633,0.7931034482758621,smote
szz,random_forest,3,21520,2391,29,0.2631578947368421,0.3448275862068966,0.29850746268656714,0.9583053519810798,0.2366055371093192,0.2914375429600299,0.9655172413793104,smote
szz,random_forest,4,21520,2391,29,0.15151515151515152,0.1724137931034483,0.16129032258064516,0.9373923326228504,0.14308459244100635,0.15064193981088136,0.9655172413793104,smote
szz,random_forest,5,21520,2391,30,0.37037037037037035,0.3333333333333333,0.3508771929824561,0.9447268106734434,0.29173629547907726,0.3435561607229936,0.9666666666666667,smote
szz,random_forest,6,21520,2391,30,0.21052631578947367,0.26666666666666666,0.23529411764705882,0.9437244105604969,0.15896546880555668,0.22603281622624335,0.9333333333333333,smote
szz,random_forest,7,21520,2391,30,0.32432432432432434,0.4,0.3582089552238806,0.914845404489623,0.3160263986341163,0.35116646995517503,0.9,smote
szz,random_forest,8,21520,2391,30,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.9297402230693209,0.2891377262499051,0.25734858110969927,0.9,smote
szz,random_forest,9,21520,2391,30,0.25806451612903225,0.26666666666666666,0.26229508196721313,0.9469222081039108,0.2139793299255357,0.25280065298320176,0.9666666666666667,smote
szz,random_forest,10,21520,2391,30,0.14285714285714285,0.26666666666666666,0.18604651162790697,0.948284625158831,0.16281217305375892,0.1813007395803914,1.0,smote
szz,xgboost,1,21519,2392,30,0.32432432432432434,0.4,0.3582089552238806,0.9363392605136889,0.3007569637334208,0.3511702915741029,0.8666666666666667,smote
szz,xgboost,2,21520,2391,29,0.28,0.2413793103448276,0.25925925925925924,0.9180414026686912,0.16130029709625443,0.25155286116662795,0.7931034482758621,smote
szz,xgboost,3,21520,2391,29,0.23255813953488372,0.3448275862068966,0.2777777777777778,0.9509766708517037,0.229297836086214,0.27251799128508436,0.9655172413793104,smote
szz,xgboost,4,21520,2391,29,0.21875,0.2413793103448276,0.22950819672131148,0.9488306227919063,0.1982605742135755,0.21985001230630505,0.9655172413793104,smote
szz,xgboost,5,21520,2391,30,0.375,0.4,0.3870967741935484,0.9344910348722293,0.2877349890494367,0.3792570049405076,0.9333333333333333,smote
szz,xgboost,6,21520,2391,30,0.2553191489361702,0.4,0.3116883116883117,0.9260765212480587,0.21484686515451537,0.30884448532122455,0.9,smote
szz,xgboost,7,21520,2391,30,0.2894736842105263,0.36666666666666664,0.3235294117647059,0.9297472822250459,0.31494846537842336,0.3161669829368751,0.9,smote
szz,xgboost,8,21520,2391,30,0.3,0.3,0.3,0.9274812932373289,0.2628794627559205,0.2911054637865311,0.9,smote
szz,xgboost,9,21520,2391,30,0.3103448275862069,0.3,0.3050847457627119,0.9474798814061838,0.23399912207462426,0.29645000211947203,0.9,smote
szz,xgboost,10,21520,2391,30,0.1509433962264151,0.26666666666666666,0.1927710843373494,0.9422137512353522,0.17418938491394537,0.18720233292191127,0.9333333333333333,smote
szz,lightgbm,1,21519,2392,30,0.3548387096774194,0.36666666666666664,0.36065573770491804,0.9331216483206322,0.2923965822683739,0.35244911575245097,0.8666666666666667,smote
szz,lightgbm,2,21520,2391,29,0.2857142857142857,0.20689655172413793,0.24,0.8996175070804987,0.184188213750984,0.23527139755896304,0.8620689655172413,smote
szz,lightgbm,3,21520,2391,29,0.26666666666666666,0.27586206896551724,0.2711864406779661,0.9547724021139302,0.22370182981971778,0.26212330566600417,0.9655172413793104,smote
szz,lightgbm,4,21520,2391,29,0.20833333333333334,0.1724137931034483,0.18867924528301888,0.9537942713655874,0.17080152229947557,0.1804912379682355,0.9655172413793104,smote
