project_id,model,t1,t2,n_train,n_test,n_pos_train,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
org.apache:dbcp,lightgbm,2011-07-19 20:49:18+00:00,2018-06-10 19:17:32+00:00,104,125,21,25,0.43333333333333335,0.52,0.4727272727272727,0.7548,0.4703432436329131,0.3278050340535929,0.44
org.apache:digester,lightgbm,2011-01-27 17:15:45+00:00,2011-05-30 13:12:04+00:00,233,346,47,69,0.48,0.5217391304347826,0.5,0.8079840945953016,0.5823066032983508,0.3694122764784037,0.5217391304347826
org.apache:felix,lightgbm,2010-06-24 11:15:42+00:00,2014-05-06 15:23:03+00:00,3467,5078,694,302,0.23174603174603176,0.24172185430463577,0.2366288492706645,0.7576874438417253,0.1741518137404248,0.18732307659265568,0.4900662251655629
org.apache:hive,lightgbm,2015-04-08 00:21:11+00:00,2017-10-16 03:03:42+00:00,4715,6585,939,1224,0.4297924297924298,0.2875816993464052,0.34459128732256483,0.7269922845094016,0.3483409732589562,0.23631216819925754,0.41094771241830064
org.apache:httpclient,lightgbm,2011-01-07 21:01:16+00:00,2014-08-16 11:06:55+00:00,568,901,89,152,0.30612244897959184,0.09868421052631579,0.14925373134328357,0.6738106949617034,0.3003409109452967,0.08800218487303949,0.3881578947368421
org.apache:httpcore,lightgbm,2010-03-22 22:02:09+00:00,2016-07-16 11:27:17+00:00,628,998,121,200,0.4860557768924303,0.61,0.541019955654102,0.8177756892230577,0.5529515119428119,0.4136494490706157,0.55
org.apache:net,lightgbm,2011-02-15 23:34:53+00:00,2014-04-13 18:38:49+00:00,225,274,45,24,0.125,0.375,0.1875,0.6304166666666666,0.18948576113899085,0.07900213056407634,0.3333333333333333
org.apache:thrift,lightgbm,2011-08-23 20:27:19+00:00,2015-11-08 14:43:55+00:00,165,197,22,37,0.5,0.08108108108108109,0.13953488372093023,0.6901182432432433,0.3249739716821951,0.1416684701217276,0.40540540540540543
org.apache:vfs,lightgbm,2012-02-15 21:08:53+00:00,2019-02-01 02:24:06+00:00,391,469,76,90,0.6078431372549019,0.34444444444444444,0.4397163120567376,0.7837584286133099,0.5309123208557444,0.3689481544193997,0.5222222222222223
org.apache:zookeeper,lightgbm,2012-03-30 22:29:08+00:00,2018-05-30 00:23:11+00:00,676,908,49,149,0.65625,0.14093959731543623,0.23204419889502761,0.7317779487315524,0.427340246337036,0.25397734158763813,0.44966442953020136
